fold_index,threshold,direction,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_roc_auc,test_ari,test_nmi
76,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.5142857142857142,0.8333333333333333,-0.07086614173228346,0.15575634360678023
77,0.4391025641025641,1,0.7545454545454545,0.6538461538461539,0.43529411764705883,0.41025641025641024,-0.12903225806451613,0.11642351775928049
78,0.4391025641025641,1,0.7090909090909091,0.8461538461538461,0.7090909090909091,0.8205128205128205,0.21375921375921375,0.3147642165239737
79,0.4570512820512821,1,0.7314814814814815,0.5714285714285714,0.5,0.6428571428571428,0.0,0.008923626196615513
80,0.4391025641025641,1,0.7592592592592593,0.6428571428571428,0.36507936507936506,0.8571428571428571,-0.11940298507462686,0.08273673753871687
81,0.4551282051282051,1,0.7407407407407407,0.6190476190476191,0.5296442687747036,0.6190476190476191,-0.00676818950930626,0.028849001159620954
82,0.4371794871794872,1,0.7454545454545455,0.6538461538461539,0.43529411764705883,0.8974358974358975,-0.12903225806451613,0.11642351775928049
83,0.4391025641025641,1,0.7272727272727273,0.7692307692307692,0.6,0.6666666666666666,0.0171990171990172,0.21327035338138156
84,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.4666666666666667,0.6428571428571428,-0.06666666666666667,0.12331038678169001
85,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.6071428571428572,-0.022727272727272728,0.14840708821535575
86,0.47756410256410253,1,0.737037037037037,0.48809523809523814,0.4711111111111111,0.6428571428571428,-0.04111986001749781,0.00032571732695763317
87,0.4391025641025641,1,0.7181818181818181,0.8076923076923077,0.6536796536796536,0.7948717948717948,0.10423452768729642,0.25821680907613054
88,0.4391025641025641,1,0.7454545454545455,0.6923076923076923,0.4920634920634921,0.8461538461538461,-0.09871244635193133,0.14449170118335888
89,0.4371794871794872,1,0.7407407407407407,0.6785714285714286,0.41700404858299595,0.6071428571428572,-0.09883720930232558,0.10181700816911868
90,0.4391025641025641,1,0.75,0.6785714285714286,0.41700404858299595,0.6785714285714286,-0.09883720930232558,0.10181700816911868
91,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.5142857142857142,0.5952380952380952,-0.07086614173228346,0.15575634360678023
92,0.4551282051282051,1,0.7545454545454545,0.5641025641025641,0.4666666666666667,0.5128205128205128,-0.04832104832104832,0.008891130288546007
93,0.4391025641025641,1,0.7363636363636363,0.7307692307692308,0.5465587044534412,0.6666666666666666,-0.05,0.17618002277154
94,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.5636363636363637,0.9285714285714286,0.034334763948497854,0.17871023341808764
95,0.433974358974359,1,0.7314814814814815,0.6785714285714286,0.41700404858299595,0.75,-0.09883720930232558,0.10181700816911868
96,0.4551282051282051,1,0.7592592592592593,0.5476190476190476,0.43956043956043955,0.7380952380952381,-0.04704875962360992,0.004850862037790097
97,0.4391025641025641,1,0.7545454545454545,0.6538461538461539,0.43529411764705883,0.6153846153846154,-0.12903225806451613,0.11642351775928049
98,0.4391025641025641,1,0.7454545454545455,0.6923076923076923,0.4920634920634921,0.6923076923076923,-0.09871244635193133,0.14449170118335888
99,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.5714285714285714,-0.022727272727272728,0.14840708821535575
100,0.4391025641025641,1,0.7037037037037037,0.8571428571428572,0.6666666666666667,0.7857142857142857,0.2,0.26595956216712824
