institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_023,1,0.5358974358974359,INST_065,2,0.5615384615384615,0.02564102564102566,2.333333333333333
INST_011,1,0.45128205128205134,INST_041,2,0.47820512820512817,0.026923076923076827,8.516666666666666
INST_036,2,0.4974358974358974,INST_075,1,0.47051282051282056,0.026923076923076827,8.516666666666666
INST_041,2,0.47820512820512817,INST_079,1,0.45128205128205134,0.026923076923076827,8.516666666666666
INST_034,2,0.4974358974358974,INST_075,1,0.47051282051282056,0.026923076923076827,8.016666666666666
INST_035,1,0.4897435897435898,INST_039,2,0.5166666666666666,0.026923076923076827,7.516666666666667
INST_065,2,0.5615384615384615,INST_068,1,0.5884615384615384,0.026923076923076827,5.816666666666666
INST_065,2,0.5615384615384615,INST_081,1,0.5884615384615384,0.026923076923076827,5.816666666666666
INST_051,2,0.5,INST_053,1,0.4730769230769231,0.026923076923076883,7.683333333333334
INST_024,1,0.5756410256410256,INST_074,2,0.6025641025641025,0.02692307692307694,8.516666666666667
INST_035,1,0.4897435897435898,INST_071,2,0.46282051282051284,0.02692307692307694,7.65
INST_001,2,0.5192307692307693,INST_061,1,0.4923076923076923,0.026923076923076994,7.8500000000000005
INST_022,2,0.4589743589743589,INST_057,1,0.4858974358974359,0.026923076923076994,6.983333333333334
INST_022,2,0.4589743589743589,INST_032,1,0.4858974358974359,0.026923076923076994,5.816666666666666
INST_019,1,0.4692307692307693,INST_036,2,0.4974358974358974,0.028205128205128105,4.033333333333334
INST_019,1,0.4692307692307693,INST_034,2,0.4974358974358974,0.028205128205128105,4.033333333333333
INST_043,1,0.5282051282051282,INST_051,2,0.5,0.028205128205128216,9.466666666666667
INST_071,2,0.46282051282051284,INST_073,1,0.4346153846153846,0.028205128205128216,3.033333333333333
INST_029,1,0.5910256410256409,INST_065,2,0.5615384615384615,0.029487179487179382,4.283333333333333
INST_051,2,0.5,INST_075,1,0.47051282051282056,0.029487179487179438,10.216666666666667
INST_061,1,0.4923076923076923,INST_071,2,0.46282051282051284,0.029487179487179438,4.783333333333333
