candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,total_cost,ensemble_support,baseline_target_support_inductive,baseline_source_support_inductive,ensemble_support_gain,desired_flip_members,retained_target_members,reverse_loss_members,remained_source_members,conditional_flip_rate_among_baseline_source,target_retention_rate_among_baseline_target,reverse_loss_rate_among_baseline_target,net_member_gain_count,baseline_target_support_R0_KMEANS,cf_target_support_R0_KMEANS,support_gain_R0_KMEANS,conditional_flip_rate_R0_KMEANS,baseline_target_support_R0_WARD,cf_target_support_R0_WARD,support_gain_R0_WARD,conditional_flip_rate_R0_WARD,baseline_target_support_R1_PCA85_KMEANS,cf_target_support_R1_PCA85_KMEANS,support_gain_R1_PCA85_KMEANS,conditional_flip_rate_R1_PCA85_KMEANS,baseline_target_support_R1_PCA85_WARD,cf_target_support_R1_PCA85_WARD,support_gain_R1_PCA85_WARD,conditional_flip_rate_R1_PCA85_WARD
INST_064__CF02,INST_064,1,2,BOUNDARY,2,2.499996000008,0.9949186991869918,0.4695121951219512,0.5304878048780488,0.5254065040650406,517,462,0,5,0.9904214559386973,1.0,0.0,517,0.684,0.992,0.30799999999999994,0.9746835443037974,0.23770491803278687,0.9877049180327869,0.75,0.9838709677419355,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,1.0,0.7333333333333334,1.0
INST_064__CF03,INST_064,1,2,BOUNDARY,3,2.4999962500071247,0.975609756097561,0.4695121951219512,0.5304878048780488,0.5060975609756098,498,462,0,24,0.9540229885057471,1.0,0.0,498,0.684,0.952,0.2679999999999999,0.8481012658227848,0.23770491803278687,0.9631147540983607,0.7254098360655739,0.9516129032258065,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,0.9875,0.7208333333333334,0.9829545454545454
INST_064__CF04,INST_064,1,2,BOUNDARY,4,2.999994000015,0.9989837398373984,0.4695121951219512,0.5304878048780488,0.5294715447154472,521,462,0,1,0.9980842911877394,1.0,0.0,521,0.684,1.0,0.31599999999999995,1.0,0.23770491803278687,0.9959016393442623,0.7581967213114755,0.9946236559139785,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,1.0,0.7333333333333334,1.0
INST_064__CF05,INST_064,1,2,BOUNDARY,5,3.083328888897481,0.9827235772357724,0.4695121951219512,0.5304878048780488,0.5132113821138211,505,462,0,17,0.9674329501915708,1.0,0.0,505,0.684,0.984,0.29999999999999993,0.9493670886075949,0.23770491803278687,0.9713114754098361,0.7336065573770492,0.9623655913978495,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,0.975,0.7083333333333333,0.9659090909090909
INST_065__CF01,INST_065,2,1,CORE,1,4.999990250024375,0.3434959349593496,0.0010162601626016261,0.9989837398373984,0.34247967479674796,337,1,0,646,0.34282807731434384,1.0,0.0,337,0.0,0.248,0.248,0.248,0.004098360655737705,0.48770491803278687,0.48360655737704916,0.48559670781893005,0.0,0.188,0.188,0.188,0.0,0.4583333333333333,0.4583333333333333,0.4583333333333333
INST_065__CF02,INST_065,2,1,CORE,2,4.999991250020125,0.3140243902439024,0.0010162601626016261,0.9989837398373984,0.3130081300813008,308,1,0,675,0.3133265513733469,1.0,0.0,308,0.0,0.14,0.14,0.14,0.004098360655737705,0.5,0.4959016393442623,0.49794238683127573,0.0,0.112,0.112,0.112,0.0,0.5166666666666667,0.5166666666666667,0.5166666666666667
INST_065__CF03,INST_065,2,1,CORE,3,5.249989000028,0.3556910569105691,0.0010162601626016261,0.9989837398373984,0.3546747967479675,349,1,0,634,0.3550356052899288,1.0,0.0,349,0.0,0.2,0.2,0.2,0.004098360655737705,0.5409836065573771,0.5368852459016394,0.5390946502057613,0.0,0.148,0.148,0.148,0.0,0.5458333333333333,0.5458333333333333,0.5458333333333333
INST_065__CF04,INST_065,2,1,CORE,4,5.249991000018,0.3119918699186992,0.0010162601626016261,0.9989837398373984,0.31097560975609756,306,1,0,677,0.31129196337741605,1.0,0.0,306,0.0,0.172,0.172,0.172,0.004098360655737705,0.4959016393442623,0.4918032786885246,0.49382716049382713,0.0,0.128,0.128,0.128,0.0,0.4625,0.4625,0.4625
INST_065__CF05,INST_065,2,1,CORE,5,5.499990000023,0.3119918699186992,0.0010162601626016261,0.9989837398373984,0.31097560975609756,306,1,0,677,0.31129196337741605,1.0,0.0,306,0.0,0.184,0.184,0.184,0.004098360655737705,0.5245901639344263,0.5204918032786886,0.522633744855967,0.0,0.108,0.108,0.108,0.0,0.44166666666666665,0.44166666666666665,0.44166666666666665
INST_066__CF01,INST_066,1,2,BOUNDARY,1,2.3333298888954817,0.7103658536585366,0.4695121951219512,0.5304878048780488,0.24085365853658536,248,451,11,274,0.47509578544061304,0.9761904761904762,0.023809523809523808,237,0.684,0.816,0.1319999999999999,0.4177215189873418,0.23770491803278687,0.5819672131147541,0.3442622950819672,0.4838709677419355,0.676,0.86,0.18399999999999994,0.5679012345679012,0.26666666666666666,0.575,0.3083333333333333,0.44886363636363635
